iter	MultiClass
0	1.349282427
1	1.318040833
2	1.291519416
3	1.26757695
4	1.245214886
5	1.225547849
6	1.207865152
7	1.193148253
8	1.177826953
9	1.16491253
10	1.152904915
11	1.141170905
12	1.130438998
13	1.11964102
14	1.110671208
15	1.100702243
16	1.093027344
17	1.085487691
18	1.077970471
19	1.070612906
20	1.064762707
21	1.058638645
22	1.052666164
23	1.046596247
24	1.042137174
25	1.037083623
26	1.030001934
27	1.0256707
28	1.021445565
29	1.017274069
30	1.01369516
31	1.010719448
32	1.006221568
33	1.00272146
34	0.9987719439
35	0.9955756197
36	0.9922523324
37	0.9894762418
38	0.9863503377
39	0.9831004491
40	0.9811760601
41	0.9791640745
42	0.9774353506
43	0.9752198356
44	0.9733501046
45	0.9713608072
46	0.969197
47	0.9674201849
48	0.9650205733
49	0.9621574578
50	0.9591681131
51	0.9564227062
52	0.9554550313
53	0.9535453417
54	0.951916664
55	0.9507056538
56	0.9491997491
57	0.9473308189
58	0.945551516
59	0.9438000144
60	0.9419591206
61	0.9406339068
62	0.9394438173
63	0.9385014358
64	0.9366233727
65	0.9352430923
66	0.9343600678
67	0.933162606
68	0.9315975151
69	0.9306713938
70	0.9293607393
71	0.928278251
72	0.9271746825
73	0.9255593615
74	0.9243381025
75	0.9232082499
76	0.9222036508
77	0.9212779945
78	0.9203807883
79	0.9194947969
80	0.9181844644
81	0.9173240266
82	0.9166944835
83	0.9161214698
84	0.9154351148
85	0.9145324962
86	0.9136776339
87	0.9131088896
88	0.9119811735
89	0.9114580388
90	0.9110233168
91	0.9103368358
92	0.9090084448
93	0.9085533083
94	0.9076232328
95	0.9066008943
96	0.9059528148
97	0.9052538605
98	0.9043606473
99	0.9036737587
100	0.9028418201
101	0.9017820576
102	0.9012350959
103	0.9008948597
104	0.900431721
105	0.899388878
106	0.8987027416
107	0.8982344783
108	0.8971428249
109	0.8962329193
110	0.8952380474
111	0.8946984858
112	0.8940713311
113	0.8934435604
114	0.8927724716
115	0.8921706469
116	0.8916216269
117	0.8909842934
118	0.8898916961
119	0.8892799284
120	0.8882354871
121	0.8873822777
122	0.8866275374
123	0.886172678
124	0.8854980473
125	0.8850238085
126	0.8843959612
127	0.8835373549
128	0.8831348656
129	0.8827185693
130	0.8824282383
131	0.8817064681
132	0.8809763915
133	0.8801138996
134	0.8793542908
135	0.8787043931
136	0.8782602805
137	0.8773501492
138	0.8765655752
139	0.8759105005
140	0.8754593925
141	0.8746632498
142	0.8744149731
143	0.8737917024
144	0.8732076458
145	0.8726914946
146	0.8723007813
147	0.8717284881
148	0.8709120798
149	0.8703224973
150	0.8699419191
151	0.8695715647
152	0.8690161223
153	0.8684592267
154	0.8678578015
155	0.8673124893
156	0.8668369856
157	0.8662427301
158	0.8658823177
159	0.8649995381
160	0.8642784147
161	0.8637152601
162	0.8631530177
163	0.8624787719
164	0.8620360838
165	0.8614483197
166	0.860864117
167	0.8603751245
168	0.8601306169
169	0.8596346205
170	0.8590618842
171	0.8586640258
172	0.8580374365
173	0.8576718488
174	0.8569895019
175	0.8565677248
176	0.856168121
177	0.8557531074
178	0.8553130297
179	0.85500503
180	0.8544883439
181	0.854206473
182	0.8538177195
183	0.8534409092
184	0.8529312326
185	0.8523302636
186	0.8519283551
187	0.8514215664
188	0.8509005689
189	0.8502639874
190	0.8494092145
191	0.8487552644
192	0.8484021978
193	0.8480894158
194	0.8472368661
195	0.8466990938
196	0.8460021164
197	0.8455248941
198	0.8448067396
199	0.844095954
200	0.8437451854
201	0.8432723037
202	0.8426207523
203	0.8418980125
204	0.8413845888
205	0.8410616311
206	0.8407414926
207	0.8402794564
208	0.8399207054
209	0.8388762364
210	0.8383480385
211	0.8379364702
212	0.8374988881
213	0.8369685233
214	0.8366246865
215	0.8356168185
216	0.835067712
217	0.8345750956
218	0.8341412487
219	0.8337443258
220	0.833536951
221	0.8330859048
222	0.8324221861
223	0.8320440843
224	0.8317607941
225	0.8312930974
226	0.8309826359
227	0.8306052244
228	0.8301826224
229	0.8298577831
230	0.8294588475
231	0.8288929996
232	0.8284248004
233	0.8280191615
234	0.8275420854
235	0.8269659922
236	0.8264801739
237	0.8260288777
238	0.8254123233
239	0.8248666874
240	0.8244052353
241	0.8238125468
242	0.8234778436
243	0.8231260597
244	0.8226648261
245	0.8222291193
246	0.8220550898
247	0.8216684629
248	0.8211622391
249	0.8207742735
250	0.820434459
251	0.8200964555
252	0.8195406575
253	0.8190484113
254	0.8187651664
255	0.8182090198
256	0.817808191
257	0.8170515015
258	0.8165487566
259	0.8160651524
260	0.8156767205
261	0.8150374582
262	0.8146545918
263	0.8144028939
264	0.8137928166
265	0.8133935267
266	0.8128370101
267	0.8124935775
268	0.8120505637
269	0.811571748
270	0.8110608891
271	0.8105774738
272	0.8099525357
273	0.8094709579
274	0.8089663988
275	0.8086182458
276	0.8083000919
277	0.8080277422
278	0.8075038417
279	0.8069233464
280	0.806531923
281	0.8061625028
282	0.8055520012
283	0.8051561591
284	0.8047092479
285	0.8038210839
286	0.8034155307
287	0.8028702894
288	0.8024673403
289	0.802114012
290	0.8017028062
291	0.8013825825
292	0.8007969531
293	0.8005383462
294	0.8001430615
295	0.7997441131
296	0.7993147484
297	0.7989918582
298	0.7987043963
299	0.7985356166
300	0.7980604913
301	0.7975872814
302	0.7971893755
303	0.796892953
304	0.7964422646
305	0.7963128227
306	0.7960543905
307	0.7958176926
308	0.7955123362
309	0.795138264
310	0.7947762662
311	0.7945871984
312	0.7941898022
313	0.7937196105
314	0.7932215387
315	0.7928297325
316	0.792486944
317	0.7921904143
318	0.7918875658
319	0.7915863766
320	0.791068213
321	0.7908441178
322	0.7906478578
323	0.7903864038
324	0.7901500686
325	0.7898402205
326	0.7894460637
327	0.7891294516
328	0.7887061639
329	0.7883658191
330	0.7879617767
331	0.7876687173
332	0.7873195683
333	0.7870769208
334	0.7866833341
335	0.7862638999
336	0.7858577406
337	0.7854607184
338	0.7849842399
339	0.7846245635
340	0.7840079876
341	0.7837488606
342	0.7831612717
343	0.7830729305
344	0.782881063
345	0.7823605806
346	0.7818663153
347	0.781522837
348	0.7810542035
349	0.7806289182
350	0.7802326441
351	0.7798598152
352	0.7795536325
353	0.7791622606
354	0.7788065212
355	0.7784618964
