iter	Passed	Remaining
0	50	25220
1	104	25931
2	147	24440
3	226	28062
4	285	28304
5	341	28125
6	408	28769
7	453	27861
8	490	26758
9	533	26151
10	582	25908
11	633	25770
12	675	25297
13	715	24829
14	768	24835
15	813	24620
16	858	24390
17	901	24142
18	947	23985
19	1002	24054
20	1051	23974
21	1098	23858
22	1138	23613
23	1190	23610
24	1252	23792
25	1313	23940
26	1362	23866
27	1418	23914
28	1473	23929
29	1528	23942
30	1583	23951
31	1642	24019
32	1700	24060
33	1741	23869
34	1799	23904
35	1853	23886
36	1906	23859
37	1951	23722
38	2003	23678
39	2055	23642
40	2100	23519
41	2143	23369
42	2188	23257
43	2240	23218
44	2285	23110
45	2335	23054
46	2384	22978
47	2437	22950
48	2486	22887
49	2534	22813
50	2580	22719
51	2631	22673
52	2682	22627
53	2729	22541
54	2775	22459
55	2825	22403
56	2864	22260
57	2908	22168
58	2947	22029
59	2998	21990
60	3043	21906
61	3083	21783
62	3126	21686
63	3170	21598
64	3215	21519
65	3254	21403
66	3305	21360
67	3349	21276
68	3395	21211
69	3440	21133
70	3477	21014
71	3515	20896
72	3561	20833
73	3606	20762
74	3653	20703
75	3690	20587
76	3738	20534
77	3780	20453
78	3826	20391
79	3868	20308
80	3905	20201
81	3948	20125
82	3991	20051
83	4038	20001
84	4094	19989
85	4140	19930
86	4190	19893
87	4229	19800
88	4276	19747
89	4315	19661
90	4358	19587
91	4394	19486
92	4436	19414
93	4479	19348
94	4520	19272
95	4582	19284
96	4623	19209
97	4667	19147
98	4711	19085
99	4758	19035
100	4810	19001
101	4855	18946
102	4891	18854
103	4930	18773
104	4975	18716
105	5021	18664
106	5059	18581
107	5103	18523
108	5151	18479
109	5194	18417
110	5235	18349
111	5282	18299
112	5323	18230
113	5372	18191
114	5445	18230
115	5513	18253
116	5552	18176
117	5625	18211
118	5674	18166
119	5717	18104
120	5759	18039
121	5801	17973
122	5842	17908
123	5876	17819
124	5911	17735
125	5948	17655
126	5982	17569
127	6014	17479
128	6048	17394
129	6084	17318
130	6117	17232
131	6155	17161
132	6189	17078
133	6221	16994
134	6256	16914
135	6292	16840
136	6324	16757
137	6363	16693
138	6399	16619
139	6460	16612
140	6494	16534
141	6527	16457
142	6564	16388
143	6600	16318
144	6632	16238
145	6667	16167
146	6699	16088
147	6731	16010
148	6768	15943
149	6801	15870
150	6835	15798
151	6865	15718
152	6899	15647
153	6932	15576
154	6966	15506
155	7004	15446
156	7045	15392
157	7085	15337
158	7121	15272
159	7154	15202
160	7190	15139
161	7229	15083
162	7268	15026
163	7307	14971
164	7343	14909
165	7375	14840
166	7410	14776
167	7442	14708
168	7475	14640
169	7508	14574
170	7540	14508
171	7572	14441
172	7605	14375
173	7637	14310
174	7669	14243
175	7703	14180
176	7736	14117
177	7768	14053
178	7802	13991
179	7837	13933
180	7871	13873
181	7905	13812
182	7960	13790
183	7995	13730
184	8034	13680
185	8076	13634
186	8133	13613
187	8182	13579
188	8218	13522
189	8260	13477
190	8294	13419
191	8328	13360
192	8364	13304
193	8396	13244
194	8432	13189
195	8467	13134
196	8509	13088
197	8552	13044
198	8585	12986
199	8617	12925
200	8650	12868
201	8685	12813
202	8718	12755
203	8753	12701
204	8790	12649
205	8846	12625
206	8892	12587
207	8928	12534
208	8960	12476
209	8997	12425
210	9031	12369
211	9064	12314
212	9100	12262
213	9133	12206
214	9165	12150
215	9199	12095
216	9235	12044
217	9274	11997
218	9312	11949
219	9345	11894
220	9380	11842
221	9415	11790
222	9450	11738
223	9491	11695
224	9527	11644
225	9561	11591
226	9592	11536
227	9628	11486
228	9659	11431
229	9694	11380
230	9728	11328
231	9765	11280
232	9800	11230
233	9836	11181
234	9870	11130
235	9902	11077
236	9938	11028
237	9971	10976
238	10008	10930
239	10041	10878
240	10075	10828
241	10108	10776
242	10142	10726
243	10180	10680
244	10214	10631
245	10247	10580
246	10281	10531
247	10320	10486
248	10354	10437
249	10386	10386
250	10419	10336
251	10454	10288
252	10486	10238
253	10521	10189
254	10555	10142
255	10591	10095
256	10624	10045
257	10658	9997
258	10694	9951
259	10729	9904
260	10768	9860
261	10803	9813
262	10851	9778
263	10890	9735
264	10925	9688
265	10957	9639
266	10991	9592
267	11025	9544
268	11060	9498
269	11097	9453
270	11142	9415
271	11186	9377
272	11221	9331
273	11254	9283
274	11291	9238
275	11322	9189
276	11355	9142
277	11391	9096
278	11427	9052
279	11461	9005
280	11494	8958
281	11525	8909
282	11559	8863
283	11595	8818
284	11637	8778
285	11673	8734
286	11710	8691
287	11744	8645
288	11777	8599
289	11811	8553
290	11844	8507
291	11876	8460
292	11914	8417
293	11946	8370
294	11983	8327
295	12016	8281
296	12051	8237
297	12086	8192
298	12122	8148
299	12154	8102
300	12198	8064
301	12240	8024
302	12275	7981
303	12313	7938
304	12351	7897
305	12383	7851
306	12419	7807
307	12451	7762
308	12484	7717
309	12523	7675
310	12564	7635
311	12598	7591
312	12633	7548
313	12669	7504
314	12702	7460
315	12735	7415
316	12770	7372
317	12844	7351
318	12895	7316
319	12939	7278
320	12979	7237
321	13017	7195
322	13051	7151
323	13084	7107
324	13116	7062
325	13150	7018
326	13184	6975
327	13215	6930
328	13249	6886
329	13286	6844
330	13323	6802
331	13357	6759
332	13391	6715
333	13424	6672
334	13459	6629
335	13496	6587
336	13530	6544
337	13562	6500
338	13598	6458
